ingredient_name,common_aliases,category,concern_level,explanation,skin_types_to_avoid
Benzyl Alcohol,"Phenylmethanol, Benzenemethanol",Drying Alcohol,Caution,Used as a preservative and solvent. Can cause contact sensitivity and is a mild irritant. EU-regulated fragrance allergen.,"sensitive, eczema"
SD Alcohol 40,"Specially Denatured Alcohol, Alcohol Denat",Drying Alcohol,Caution,Denatured ethanol. Drying to skin and disrupts the barrier. Often used in toners and astringents for a mattifying effect.,"sensitive, dry, eczema, rosacea"
Phenoxyethanol,,Preservative,Caution,Widely used preservative considered safer than parabens. Some concerns about irritation at higher concentrations. EU limits to 1% in cosmetics.,"sensitive, eczema"
Ethylhexylglycerin,,Preservative,Safe,Mild preservative booster derived from glycerin. Often paired with phenoxyethanol. Generally well tolerated.,none
Sodium Benzoate,,Preservative,Caution,Preservative that can form benzene (a carcinogen) when combined with vitamin C (ascorbic acid) in formulas. Generally safe alone.,sensitive
Potassium Sorbate,,Preservative,Safe,Mild preservative from sorbic acid. Generally well tolerated and considered one of the safer preservatives.,none
Sorbic Acid,,Preservative,Safe,Natural preservative. Gentle and generally safe. Can cause mild irritation in very sensitive individuals.,none
Caprylyl Glycol,,Preservative,Safe,Mild preservative and skin conditioning agent. Well tolerated by most skin types.,none
Chlorphenesin,,Preservative,Caution,Preservative with muscle-relaxing properties. Can cause contact dermatitis in sensitive individuals.,"sensitive, eczema"
Benzoic Acid,,Preservative,Caution,Preservative that can be irritating at higher concentrations. Generally safe in rinse-off products.,sensitive
Salicylic Acid,,Preservative,Caution,"Beta hydroxy acid used as both an exfoliant and preservative. Can be drying and irritating, especially for dry or sensitive skin. Avoid during pregnancy.","dry, sensitive, pregnancy"
Dehydroacetic Acid,,Preservative,Safe,Mild preservative often combined with benzyl alcohol. Generally well tolerated.,none
Hexylene Glycol,,Preservative,Caution,Used as a solvent and preservative booster. Can be irritating at higher concentrations.,sensitive
Propanediol,"1,3-Propanediol",Preservative,Safe,Plant-derived solvent and humectant. Gentler alternative to propylene glycol. Generally well tolerated.,none
Pentylene Glycol,,Preservative,Safe,Mild preservative and humectant. Derived from plant sources. Well tolerated including by sensitive skin.,none
Zinc Pyrithione,Pyrithione Zinc,Preservative,Caution,Active ingredient in anti-dandruff shampoos. Effective antifungal. EU has restricted it as a leave-on cosmetic ingredient due to environmental concerns.,all
Piroctone Olamine,,Preservative,Safe,Anti-dandruff agent and preservative. Gentler alternative to zinc pyrithione. Generally well tolerated.,none
Climbazole,,Preservative,Safe,Antifungal preservative used in anti-dandruff and anti-acne products. Generally safe and effective.,none
Hyaluronic Acid,"Sodium Hyaluronate, Hyaluronan, Hyaluronate, Biohyaluronic acid, Super Hyaluronic Acid, Hydrolyzed Hyaluronic Acid, Sodium Acetylated Hyaluronate, Potassium Hyaluronate",Beneficial,Safe,Powerful humectant that holds up to 1000 times its weight in water. Occurs naturally in the skin. Suitable for all skin types including sensitive and acne-prone.,none
Glycerin,"Glycerol, Glycerine",Beneficial,Safe,One of the most effective and well-studied humectants. Draws moisture from the environment into the skin. Safe for all skin types.,none
Propylene Glycol,PG,Humectant,Caution,Effective humectant but can cause contact dermatitis in sensitive individuals. Generally safe at concentrations under 5%.,"sensitive, eczema"
Butylene Glycol,"1,3-Butanediol, BG",Beneficial,Safe,Mild humectant and solvent. Less likely to cause irritation than propylene glycol. Generally well tolerated.,none
Panthenol,"Pro-Vitamin B5, Dexpanthenol",Beneficial,Safe,Converts to vitamin B5 in the skin. Deeply hydrating and promotes skin barrier repair. Anti-inflammatory properties. Safe for all skin types.,none
Sodium PCA,Sodium 2-Pyrrolidone-5-Carboxylate,Beneficial,Safe,Natural component of the skin's Natural Moisturising Factor (NMF). Excellent humectant. Safe for all skin types.,none
Urea,Carbamide,Beneficial,Safe,Natural component of the skin's NMF. At low concentrations acts as a humectant. At higher concentrations acts as an exfoliant. Very effective for dry and eczema-prone skin.,none
Betaine,Trimethylglycine,Beneficial,Safe,Derived from sugar beets. Mild humectant and anti-irritant. Helps stabilise other ingredients in formulas.,none
Erythritol,,Beneficial,Safe,Sugar alcohol used as a humectant. Gentle and well tolerated.,none
Sorbitol,,Beneficial,Safe,Sugar alcohol humectant. Gentle and effective. Generally well tolerated.,none
Trehalose,,Beneficial,Safe,Natural sugar with excellent moisture-binding and protective properties. Used in hydrating products.,none
Inositol,,Beneficial,Safe,Vitamin-like compound with humectant and soothing properties. Beneficial for sensitive and acne-prone skin.,none
Serine,,Beneficial,Safe,Amino acid that is a natural component of skin's NMF. Hydrating and gentle.,none
Sodium Lactate,,Beneficial,Safe,Sodium salt of lactic acid. Effective humectant and mild exfoliant. Component of the skin's NMF.,none
Lactic Acid,,AHA,Caution,Alpha hydroxy acid derived from milk. Exfoliates by loosening the bonds between dead skin cells. Gentler than glycolic acid. Increases sun sensitivity — always use SPF.,"sensitive, dry"
Glycolic Acid,,AHA,Caution,"Smallest AHA molecule — most effective but also most irritating. Exfoliates, brightens, and stimulates collagen. Increases photosensitivity significantly.","sensitive, dry, rosacea"
Mandelic Acid,,AHA,Safe,Larger AHA molecule derived from bitter almonds. Gentlest AHA. Also has antibacterial properties — good for acne-prone skin. Increases sun sensitivity.,none
Malic Acid,,AHA,Safe,Mild AHA derived from apples. Often used in combination with other AHAs. Gentle and generally well tolerated.,none
Tartaric Acid,,AHA,Safe,Mild AHA derived from grapes. Often used as a pH adjuster and mild exfoliant.,none
Citric Acid,"2-Hydroxy-1,2,3-propanetricarboxylic acid",AHA,Caution,Mild AHA used primarily as a pH adjuster. At higher concentrations can exfoliate but also irritate.,sensitive
Salicylic Acid,"BHA, Beta Hydroxy Acid",BHA,Caution,Oil-soluble exfoliant that penetrates pores to remove dead cells and excess sebum. Excellent for acne. Avoid during pregnancy.,"dry, sensitive, pregnancy"
Polyhydroxy Acids,"PHA, Gluconolactone, Lactobionic Acid",PHA,Safe,"Largest exfoliant molecules — gentlest exfoliation with additional humectant benefits. Suitable for sensitive, dry, and eczema-prone skin.",none
Azelaic Acid,,Beneficial,Safe,"Multitasking ingredient that exfoliates, reduces hyperpigmentation, kills acne bacteria, and reduces redness. Safe during pregnancy. Excellent for rosacea.",none
Kojic Acid,,Beneficial,Caution,Brightening ingredient that inhibits tyrosinase enzyme. Effective for hyperpigmentation. Can cause sensitisation with prolonged use.,sensitive
Retinol,"Vitamin A, All-trans Retinol",Retinoid,Caution,"Gold standard anti-ageing ingredient. Increases cell turnover, stimulates collagen, and improves texture. Can cause irritation, dryness, and photosensitivity. Avoid during pregnancy.","sensitive, dry, pregnancy, rosacea"
Retinal,Retinaldehyde,Retinoid,Caution,More potent than retinol but less so than retinoic acid. Faster results with slightly more irritation potential. Avoid during pregnancy.,"sensitive, pregnancy"
Retinyl Palmitate,Vitamin A Palmitate,Retinoid,Safe,Ester form of vitamin A. Weakest retinoid — least effective but also least irritating. Safe starting point for retinoid beginners.,pregnancy
Retinyl Acetate,,Retinoid,Safe,Ester form of vitamin A. Milder than retinol. Converted to retinol in the skin.,pregnancy
Bakuchiol,,Beneficial,Safe,Plant-derived retinol alternative from Psoralea corylifolia. Studies show comparable results to retinol with significantly less irritation. Safe during pregnancy.,none
Granactive Retinoid,"Hydroxypinacolone Retinoate, HPR",Retinoid,Safe,Next-generation retinoid that works without conversion steps. Less irritating than retinol with effective results.,pregnancy
Ascorbic Acid,"Vitamin C, L-Ascorbic Acid",Antioxidant,Caution,"Purest form of vitamin C. Powerful antioxidant, brightens, stimulates collagen, protects against UV damage. Unstable — oxidises quickly. Can be irritating at high concentrations. Avoid mixing with niacinamide at high concentrations.","sensitive, rosacea"
Sodium Ascorbyl Phosphate,SAP,Antioxidant,Safe,Stable vitamin C derivative. More gentle than ascorbic acid. Also has antibacterial properties beneficial for acne-prone skin.,none
Ascorbyl Glucoside,AA2G,Antioxidant,Safe,Stable vitamin C derivative. Gentler and more stable than ascorbic acid. Less potent but well tolerated.,none
Magnesium Ascorbyl Phosphate,MAP,Antioxidant,Safe,"Stable, water-soluble vitamin C derivative. Gentle and effective brightener suitable for sensitive skin.",none
Ascorbyl Tetraisopalmitate,"Vitamin C ATIP, Tetrahexyldecyl Ascorbate, VC-IP, Vitamin C Tetraisopalmitate, Ascorbyl tetra-2-hexyldecanoate",Antioxidant,Safe,"Oil-soluble, stable vitamin C derivative. Penetrates well and is very gentle. Good for dry and sensitive skin.",none
Ethyl Ascorbic Acid,3-O-Ethyl Ascorbic Acid,Antioxidant,Safe,Stable and potent vitamin C derivative. Good skin penetration and brightening efficacy.,none
Niacinamide,"Vitamin B3, Nicotinamide",Beneficial,Safe,"Multi-tasking ingredient that reduces pore appearance, controls oil, brightens skin, strengthens the barrier, and reduces redness. Well studied and safe for all skin types including acne-prone and sensitive.",none
Nicotinic Acid,"Niacin, Vitamin B3 Acid Form",Beneficial,Caution,Can cause temporary flushing (redness and tingling) when applied topically. Convert to niacinamide for stable benefit.,"sensitive, rosacea"
Biotin,"Vitamin B7, Vitamin H",Beneficial,Safe,B vitamin used in hair and nail products. Supports keratin structure. Generally safe and well tolerated.,none
Riboflavin,Vitamin B2,Beneficial,Safe,Antioxidant vitamin. Used in some serums for its skin-protective properties.,none
Pyridoxine,Vitamin B6,Beneficial,Safe,Regulates sebum production. Beneficial for oily and acne-prone skin. Anti-inflammatory properties.,none
Tocopherol,"Vitamin E, Alpha-Tocopherol",Antioxidant,Safe,Fat-soluble antioxidant that protects against oxidative damage. Works synergistically with vitamin C. Moisturising and skin-repairing.,none
Tocopheryl Acetate,Vitamin E Acetate,Antioxidant,Safe,Stable ester form of vitamin E. Less potent as an antioxidant but more stable. Generally safe.,none
Resveratrol,,Antioxidant,Safe,Powerful antioxidant from grape skins. Anti-inflammatory and protective against UV damage.,none
Ferulic Acid,,Antioxidant,Safe,Plant-derived antioxidant that doubles the effectiveness of vitamins C and E. Commonly used in combination serums.,none
Coenzyme Q10,"Ubiquinone, CoQ10",Antioxidant,Safe,Antioxidant naturally present in skin cells. Decreases with age. Helps protect against free radical damage.,none
Glutathione,,Antioxidant,Safe,Master antioxidant naturally produced by the body. Brightening and protective. Generally safe.,none
Astaxanthin,,Antioxidant,Safe,One of the most powerful natural antioxidants. Anti-inflammatory and protective. Generally safe and beneficial.,none
Lycopene,,Antioxidant,Safe,Carotenoid antioxidant from tomatoes. Protective against UV damage and oxidative stress.,none
Beta-Carotene,Provitamin A,Antioxidant,Safe,Antioxidant carotenoid that converts to vitamin A. Protective and brightening. Generally safe.,none
Epigallocatechin Gallate,"EGCG, Green Tea Extract",Antioxidant,Safe,Potent antioxidant from green tea. Anti-inflammatory and protective against UV damage. Safe for all skin types.,none
Quercetin,,Antioxidant,Safe,Flavonoid antioxidant with anti-inflammatory and antihistamine properties. Beneficial for sensitive and reactive skin.,none
Ceramide NP,"Ceramide 3, N-stearoyl phytosphingosine",Beneficial,Safe,Key lipid in the skin barrier. Replenishes lost ceramides to restore barrier function. Essential for dry and eczema-prone skin.,none
Ceramide AP,Ceramide 6 II,Beneficial,Safe,"Another key skin barrier ceramide. Works best in combination with other ceramides, cholesterol, and fatty acids.",none
Ceramide EOP,Ceramide 1,Beneficial,Safe,Long-chain ceramide crucial for skin barrier integrity. Part of the optimal ceramide complex for barrier repair.,none
Cholesterol,,Beneficial,Safe,Essential component of the skin barrier lipid matrix alongside ceramides and fatty acids. Helps restore barrier function.,none
Fatty Acids,"Linoleic Acid, Linolenic Acid, Oleic Acid",Beneficial,Safe,Essential fatty acids that maintain the skin barrier. Linoleic acid is particularly beneficial for acne-prone skin.,none
Squalane,"Perhydrosqualene, Pripure 3759, Hydrogenated Squalene, Squalane Oil",Beneficial,Safe,"Highly stable emollient derived from olives or sugarcane. Identical to naturally occurring squalene in skin. Lightweight, non-comedogenic, and excellent for all skin types.",none
Squalene,,Beneficial,Safe,Naturally occurring lipid produced by sebaceous glands. Declines with age. Excellent emollient. Note: different from squalane (the stable form).,none
Allantoin,,Beneficial,Safe,"Skin-soothing and healing ingredient. Promotes cell renewal and softens skin. Suitable for sensitive, irritated, and eczema-prone skin.",none
Centella Asiatica Extract,"Cica, Tiger Grass, Gotu Kola, TECA",Beneficial,Safe,"Traditional healing plant extract. Contains madecassoside, asiaticoside, and asiatic acid. Promotes wound healing, reduces inflammation, and strengthens the skin barrier.",none
Madecassoside,,Beneficial,Safe,Active compound from centella asiatica. Potent anti-inflammatory and wound-healing properties. Strengthens the skin barrier.,none
Asiaticoside,,Beneficial,Safe,Active compound from centella asiatica. Stimulates collagen synthesis and promotes healing.,none
Beta-Glucan,"Oat Beta-Glucan, Yeast Beta-Glucan",Beneficial,Safe,Polysaccharide from oats or yeast. Deeply hydrating and soothing. Stimulates collagen production. Safe for all skin types.,none
Oat Extract,"Avena Sativa Extract, Colloidal Oatmeal",Beneficial,Safe,Anti-inflammatory and soothing. Colloidal oatmeal is an FDA-approved active ingredient for eczema relief.,none
Aloe Vera,"Aloe Barbadensis Leaf Juice, Aloe Extract",Beneficial,Safe,"Soothing, hydrating, and anti-inflammatory. Speeds wound healing. Generally safe — rarely some individuals are sensitive to aloe.",none
Palmitoyl Pentapeptide-4,"Matrixyl, Palmitoyl Pentapeptide",Peptide,Safe,One of the most studied cosmetic peptides. Stimulates collagen and hyaluronic acid production. Effective anti-ageing with good safety profile.,none
Palmitoyl Tripeptide-1,Biopeptide CL,Peptide,Safe,Peptide that stimulates collagen type I synthesis. Often combined with palmitoyl tetrapeptide-7.,none
Palmitoyl Tetrapeptide-7,"Rigin, GQPR",Peptide,Safe,Peptide that reduces inflammation and glycation. Complements palmitoyl tripeptide-1 in anti-ageing formulas.,none
Acetyl Hexapeptide-3,"Argireline, Acetyl Hexapeptide-8",Peptide,Safe,Peptide often marketed as botox-in-a-bottle. Relaxes facial tension with repeated use. Generally safe.,none
Copper Peptide,"GHK-Cu, Copper Tripeptide-1",Peptide,Safe,"Promotes collagen and elastin synthesis, wound healing, and antioxidant activity. One of the most studied cosmetic peptides.",none
Leuphasyl,Pentapeptide-18,Peptide,Safe,Peptide that reduces expression lines by relaxing muscular tension. Synergistic with argireline.,none
Syn-Ake,Dipeptide Diaminobutyroyl Benzylamide Diacetate,Peptide,Safe,Synthetic peptide mimicking snake venom (temple viper). Relaxes muscle contractions to reduce wrinkles.,none
Alpha Arbutin,,Beneficial,Safe,Stable form of arbutin that inhibits tyrosinase to reduce hyperpigmentation. Safer and more effective than beta arbutin. Safe for all skin types.,none
Beta Arbutin,Arbutin,Beneficial,Caution,Converts to hydroquinone in the skin — same brightening effect but with hydroquinone-related concerns at higher concentrations.,sensitive
Tranexamic Acid,,Beneficial,Safe,Brightening ingredient that targets multiple pathways of pigmentation. Gentle and suitable for sensitive skin. Can be used during pregnancy.,none
Licorice Root Extract,"Glycyrrhiza Glabra Root Extract, Glabridin",Beneficial,Safe,Contains glabridin which inhibits tyrosinase. Brightening and anti-inflammatory. Gentle and safe for sensitive skin.,none
Vitamin C,Ascorbic Acid and derivatives,Antioxidant,Caution,See Ascorbic Acid entry. Collective term for all vitamin C forms used in skincare.,sensitive
Diacetyl Boldine,,Beneficial,Safe,Plant-derived brightening ingredient from boldo leaves. Inhibits melanin production. Well tolerated.,none
Bearberry Extract,Arctostaphylos Uva-Ursi Leaf Extract,Beneficial,Safe,Natural source of arbutin. Brightening and antioxidant. Generally safe.,none
Mulberry Extract,Morus Alba Root Extract,Beneficial,Safe,Contains oxyresveratrol which inhibits tyrosinase. Effective brightener with antioxidant properties.,none
Zinc Oxide,ZnO,UV Filter,Safe,"Mineral UV filter that provides broad-spectrum UVA and UVB protection. Non-irritating and safe for sensitive, acne-prone, and reactive skin. Safe during pregnancy.",none
Titanium Dioxide,TiO2,UV Filter,Safe,Mineral UV filter primarily for UVB protection. Non-irritating and safe for sensitive skin. Safe during pregnancy.,none
Tinosorb S,Bis-Ethylhexyloxyphenol Methoxyphenyl Triazine,UV Filter,Safe,Photostable chemical UV filter available in EU and Asia. Not approved in US. Excellent broad-spectrum protection with low penetration.,none
Tinosorb M,Methylene Bis-Benzotriazolyl Tetramethylbutylphenol,UV Filter,Safe,Photostable UV filter. Hybrid mineral-chemical filter. Available in EU and Asia. Low skin penetration.,none
Uvinul A Plus,"Diethylamino Hydroxybenzoyl Hexyl Benzoate, DHHB",UV Filter,Safe,Photostable UVA filter with low penetration. Available in EU. Not approved in US.,none
Bisabolol,Alpha-Bisabolol,Beneficial,Safe,"Chamomile-derived soothing ingredient. Anti-inflammatory, skin-lightening, and wound-healing properties. Safe for sensitive and irritated skin.",none
Chamomile Extract,"Matricaria Chamomilla Extract, Anthemis Nobilis Flower Extract",Beneficial,Safe,Anti-inflammatory and soothing. Contains bisabolol and apigenin. Gentle and suitable for sensitive skin.,none
Calendula Extract,Calendula Officinalis Flower Extract,Beneficial,Safe,Anti-inflammatory and wound-healing. Rich in flavonoids and triterpenoids. Soothing for sensitive and irritated skin.,none
Green Tea Extract,Camellia Sinensis Leaf Extract,Antioxidant,Safe,"Rich in EGCG and other polyphenols. Antioxidant, anti-inflammatory, and antibacterial. Safe for all skin types including acne-prone.",none
White Tea Extract,Camellia Sinensis Leaf Extract (White Tea),Antioxidant,Safe,Highest antioxidant content of all tea extracts. Gentle and suitable for sensitive skin.,none
Turmeric Extract,"Curcuma Longa Root Extract, Curcumin",Beneficial,Caution,Potent anti-inflammatory and antioxidant. Can cause temporary yellowing of skin at high concentrations.,none
Rosehip Extract,Rosa Canina Fruit Extract,Beneficial,Safe,"Rich in vitamins C and A, and fatty acids. Brightening and anti-ageing. Generally safe.",none
Licorice Extract,Glycyrrhiza Glabra Root Extract,Beneficial,Safe,Soothing and brightening. Contains glycyrrhizin which reduces inflammation. Safe for sensitive skin.,none
Willow Bark Extract,Salix Alba Bark Extract,Beneficial,Caution,Natural source of salicylates. Mild exfoliating and antibacterial. Gentler than synthetic salicylic acid.,"sensitive, pregnancy"
Mushroom Extract,"Tremella Fuciformis Extract, Shiitake Extract, Albatrellus Confluens Extract, Ganoderma Lucidum Extract, Lentinus Edodes Extract, Inonotus Obliquus Extract",Beneficial,Safe,Tremella mushroom holds more water than hyaluronic acid. Antioxidant and soothing. Safe for all skin types.,none
Sea Kelp Extract,Laminaria Digitata Extract,Beneficial,Safe,"Rich in minerals, vitamins, and amino acids. Hydrating and antioxidant. Generally safe.",none
Red Algae Extract,"Chondrus Crispus Extract, Irish Moss",Beneficial,Safe,Hydrating and film-forming. Rich in minerals. Generally safe when properly formulated.,none
Collagen,"Hydrolyzed Collagen, Marine Collagen",Beneficial,Safe,Topical collagen acts as a humectant and conditioning agent. Collagen molecules are too large to penetrate skin — works on the surface. Safe and non-irritating.,none
Elastin,Hydrolyzed Elastin,Beneficial,Safe,Hydrolyzed form acts as a humectant and conditioning agent on the skin surface. Generally safe.,none
Silk Proteins,"Hydrolyzed Silk, Sericin",Beneficial,Safe,Amino acid-rich proteins that condition and hydrate skin and hair. Form a protective film. Generally safe.,none
Keratin,Hydrolyzed Keratin,Beneficial,Safe,"Structural protein of skin, hair, and nails. Hydrolyzed form strengthens hair and nails. Generally safe.",none
Malic Acid,,Beneficial,Safe,Mild AHA from apples. Often used in combination formulas. Gentle and suitable for most skin types.,none
Phytic Acid,,Beneficial,Safe,Antioxidant and mild exfoliant. Also chelates metal ions that can accelerate oxidation. Generally gentle.,none
Lactobionic Acid,,Beneficial,Safe,PHA (polyhydroxy acid). Large molecule that exfoliates gently. Also a powerful antioxidant and humectant. Great for sensitive skin.,none
Gluconolactone,,Beneficial,Safe,"PHA with antioxidant and humectant properties alongside gentle exfoliation. Safe for sensitive, dry, and eczema-prone skin.",none
Zinc,"Zinc Gluconate, Zinc Sulfate, Zinc PCA",Beneficial,Safe,"Regulates sebum production, reduces inflammation, and has antibacterial properties. Beneficial for oily and acne-prone skin.",none
Sulfur,Precipitated Sulfur,Beneficial,Safe,"Keratolytic and antibacterial. Effective for acne, seborrheic dermatitis, and rosacea. Can be drying and has a strong odour.",dry
Selenium,"Selenium Sulfide, Sodium Selenite, Selenium Disulfide",Beneficial,Safe,Antioxidant mineral. Used in anti-dandruff products and some antioxidant serums.,none
Iron Oxides,"CI 77491, CI 77492, CI 77499",Beneficial,Safe,Mineral pigments used in colour cosmetics and tinted SPFs. Safe and non-irritating. Also provide some UV protection.,none
Niacinamide,"Vitamin B3, Nicotinamide",Beneficial,Safe,See full entry above. Repeated here as it is one of the most important ingredients to recognise.,none
Adenosine,,Beneficial,Safe,Purine nucleoside that stimulates collagen synthesis and has anti-inflammatory properties. Good anti-ageing ingredient with an excellent safety profile.,none
Hexylresorcinol,,Beneficial,Safe,Brightening ingredient four times more potent than kojic acid. Also has antibacterial properties. Generally well tolerated.,none
Epidermal Growth Factor,"EGF, sh-Oligopeptide-1",Beneficial,Caution,Stimulates cell renewal and collagen production. Controversial — some dermatologists concerned about potential to stimulate abnormal cell growth.,acne-prone
Stem Cell Extracts,"Plant Stem Cells, Apple Stem Cell",Beneficial,Safe,Plant stem cell extracts provide antioxidants and support skin's own stem cells. Generally safe but efficacy claims are often exaggerated.,none
Probiotics,"Lactobacillus Ferment, Bifida Ferment Lysate",Beneficial,Safe,"Support the skin's microbiome. Anti-inflammatory and barrier-strengthening. Beneficial for acne-prone, sensitive, and eczema-prone skin.",none
Prebiotic,"Inulin, Fructooligosaccharides",Beneficial,Safe,Feed beneficial bacteria on the skin. Support microbiome balance. Generally safe and gentle.,none
Postbiotic,"Fermented Ingredients, Lysates",Beneficial,Safe,By-products of probiotic fermentation. Anti-inflammatory and barrier-supporting. Generally well tolerated.,none
Snail Secretion Filtrate,"Snail Mucin, SSMF",Beneficial,Safe,"Contains glycoproteins, hyaluronic acid, glycolic acid, zinc, and copper. Hydrating, brightening, and healing. Generally safe.",none
Peptides (General),See individual peptide entries,Beneficial,Safe,"Protein fragments that signal skin cells to produce collagen, elastin, and other proteins. Generally safe and well studied.",none
Niacinamide (Second Entry),Vitamin B3,Beneficial,Safe,"One of the most evidence-backed skincare ingredients. Safe, stable, and compatible with most other ingredients.",none
Caffeine,,Beneficial,Safe,Antioxidant and anti-inflammatory. Reduces puffiness by constricting blood vessels. Used in eye creams and anti-cellulite products. Generally safe.,none
Acetyl Glucosamine,"NAG, N-Acetyl Glucosamine",Beneficial,Safe,Precursor to hyaluronic acid. Also has brightening properties and supports skin renewal.,none
Ectoin,,Beneficial,Safe,Extremophile-derived molecule. Stabilises proteins and cell membranes. Protective and soothing. Excellent for sensitive and environmentally stressed skin.,none
Snow Algae Extract,Chlamydomonas Nivalis Extract,Beneficial,Safe,Derived from algae that survive in extreme cold. Activates longevity genes in skin cells. Antioxidant and protective.,none
Bakuchiol,,Beneficial,Safe,See retinoid section. Plant-based retinol alternative safe for sensitive skin and during pregnancy.,none
Sea Water,"Aqua Marina, Marine Water",Beneficial,Caution,Rich in trace minerals. Used as a hydrating and mineral-replenishing ingredient. May cause irritation for some sensitive skin types.,"sensitive, eczema"
Thermal Water,"Avene Thermal Spring Water, La Roche-Posay Thermal Water, Demineralized Spring Water, Avene aqua, Uriage thermal spring water, Onsen-Sui",Beneficial,Safe,Mineral-rich spring water with documented soothing and anti-inflammatory properties. Safe for all including sensitive skin.,none
Rose Water,"Rosa Damascena Flower Water, Rose Hydrosol",Beneficial,Caution,Gentle toner with anti-inflammatory properties. Generally safe but can cause reactions in individuals sensitive to fragrances or rose.,sensitive
Witch Hazel (Alcohol-Free),Hamamelis Virginiana Bark/Leaf Extract,Beneficial,Safe,Alcohol-free witch hazel retains tannin-based anti-inflammatory benefits without the irritating drying effect of alcohol-based versions.,none
Hyaluronic Acid (Low Molecular Weight),"Nano Hyaluronic Acid, Sodium Hyaluronate Crosspolymer",Beneficial,Safe,Smaller HA fragments that penetrate deeper into the skin for more intensive hydration. Generally safe.,none
Polyglutamic Acid,PGA,Beneficial,Safe,"Holds 4 times more moisture than hyaluronic acid. Also inhibits the enzyme that breaks down HA, making your own HA last longer.",none
Marine Collagen,"Fish Collagen, Hydrolyzed Marine Collagen",Beneficial,Safe,Topically acts as a humectant. Generally safe unless allergic to fish.,fish-allergy
Silk Amino Acids,Hydrolyzed Silk Amino Acids,Beneficial,Safe,Conditioning and hydrating amino acids from silk. Safe for skin and hair.,none
Watermelon Extract,Citrullus Lanatus Fruit Extract,Beneficial,Safe,Rich in lycopene and citrulline. Antioxidant and hydrating. Safe for all skin types.,none
Pomegranate Extract,Punica Granatum Extract,Beneficial,Safe,"Rich in punicalagin and ellagic acid. Antioxidant, anti-inflammatory, and brightening. Safe for most skin types.",none
Sea Buckthorn Extract,Hippophae Rhamnoides Extract,Beneficial,Caution,"Rich in vitamins, omega fatty acids, and carotenoids. Highly nutritive but can tint skin orange at high concentrations.",none
Noni Extract,Morinda Citrifolia Fruit Extract,Beneficial,Safe,Antioxidant and soothing. Anti-ageing properties. Generally safe.,none
Turmeric,Curcuma Longa Root Extract,Beneficial,Caution,Potent anti-inflammatory. Can cause temporary skin yellowing and may stain clothing. Generally safe at low concentrations.,none
Retinol Derivatives,"Retinyl Palmitate, Retinyl Acetate, Retinyl Linoleate",Retinoid,Safe,Ester forms of vitamin A converted to retinol in skin. Gentler than retinol but less potent. Good for beginners.,pregnancy
Mica,"CI 77019, Potassium Aluminium Silicate",Beneficial,Safe,Natural mineral used to add shimmer and glow to cosmetics. Non-irritating and safe for most skin types.,none
Xanthan Gum,,Beneficial,Safe,Natural thickener and stabiliser. Derived from fermentation. Non-irritating and safe for all skin types.,none
Carbomer,"Polyacrylic Acid, Carbopol",Beneficial,Safe,Synthetic thickener and gel-forming agent. Generally safe and non-irritating at cosmetic concentrations.,none
Hydroxyethylcellulose,HEC,Beneficial,Safe,Natural-derived thickener from cellulose. Non-irritating and safe. Used to give products a gel texture.,none
Sodium Hyaluronate,"Hyaluronic Acid Sodium Salt, Kopuron, Hydrolyzed Sodium Hyaluronate, Sodium Acetylated Hyaluronate",Beneficial,Safe,Sodium salt of hyaluronic acid. Penetrates skin more easily than high molecular weight HA. Key hydrating ingredient.,none
Polyglyceryl Esters,"Polyglyceryl-3 Methylglucose Distearate, Polyglyceryl-6 Distearate",Beneficial,Safe,Gentle emulsifiers derived from plant glycerin. Well tolerated by sensitive skin. Good alternative to ethoxylated emulsifiers.,none
Lecithin,"Soy Lecithin, Sunflower Lecithin, Phosphatidylcholine",Beneficial,Safe,Natural emulsifier from plants. Strengthens the skin barrier and has excellent hydrating properties. Generally safe.,none
Linoleic Acid,Omega-6,Beneficial,Safe,Essential fatty acid that the body cannot produce. Deficiency linked to acne. Topical application helps restore barrier and reduce breakouts.,none
Sodium Ascorbate,Vitamin C Salt,Antioxidant,Safe,"Stable, gentle form of vitamin C. Less irritating than ascorbic acid. Effective antioxidant and brightener.",none
Dipotassium Glycyrrhizate,,Beneficial,Safe,Derived from licorice root. Potent anti-inflammatory and soothing agent. Suitable for sensitive and rosacea-prone skin.,none
Chlorella Extract,Chlorella Vulgaris Extract,Beneficial,Safe,"Freshwater algae rich in proteins, vitamins, and minerals. Antioxidant and detoxifying. Generally safe.",none
Mushroom Extract (Reishi),Ganoderma Lucidum Extract,Beneficial,Safe,Adaptogenic mushroom with antioxidant and anti-inflammatory properties. Supports the skin barrier.,none
Malachite Extract,,Antioxidant,Safe,Mineral-derived antioxidant that protects against environmental pollutants. Strengthens skin's natural defences.,none
Bakuchiol,Psoralea Corylifolia Seed Extract,Beneficial,Safe,Plant-derived retinol alternative. Stimulates collagen without the irritation of retinoids. Safe for pregnancy.,none
Snow Mushroom,Tremella Fuciformis Sporocarp Extract,Beneficial,Safe,Holds more water than hyaluronic acid. Traditional Asian beauty ingredient with excellent hydrating and brightening properties.,none
