ingredient_name,common_aliases,category,concern_level,explanation,skin_types_to_avoid,benefit
Cetearyl Alcohol,Cetostearyl Alcohol,Fatty Alcohol,Safe,Blend of cetyl and stearyl alcohol. Emulsifier and emollient. Safe for most skin types including sensitive.,none,barrier repair
Stearyl Alcohol,1-Octadecanol,Fatty Alcohol,Safe,Fatty alcohol used as an emollient and thickener. Non-irritating and generally safe.,none,barrier repair
Behenyl Alcohol,"Docosanol, 1-Docosanol",Fatty Alcohol,Safe,"Long-chain fatty alcohol. Emollient and emulsifier. Very well tolerated, safe for sensitive skin.",none,barrier repair
Arachidyl Alcohol,,Fatty Alcohol,Safe,Fatty alcohol used as an emollient. Generally safe and non-irritating.,none,barrier repair
Myristyl Alcohol,1-Tetradecanol,Fatty Alcohol,Caution,Fatty alcohol that rates 2-3 on comedogenicity. Safe for most but may cause issues for acne-prone skin.,"oily, acne-prone",none
Lauryl Alcohol,1-Dodecanol,Fatty Alcohol,Caution,Fatty alcohol that can be moderately comedogenic. May irritate sensitive skin at higher concentrations.,"oily, acne-prone, sensitive",none
Ethanol,"Ethyl Alcohol, Alcohol, Grain Alcohol",Drying Alcohol,Caution,Simple alcohol that evaporates quickly. Drying to the skin barrier with repeated use. Different from fatty alcohols.,"sensitive, dry, eczema, rosacea",none
Isopropyl Alcohol,"Isopropanol, 2-Propanol, Rubbing Alcohol",Drying Alcohol,Avoid,Very drying and irritating to skin. Disrupts the lipid barrier significantly. Not suitable for facial use.,all,none
Benzyl Alcohol,"Phenylmethanol, Benzenemethanol",Drying Alcohol,Caution,Used as a preservative and solvent. Can cause contact sensitivity and is a mild irritant. EU-regulated fragrance allergen.,"sensitive, eczema",none
SD Alcohol 40,"Specially Denatured Alcohol, Alcohol Denat",Drying Alcohol,Caution,Denatured ethanol. Drying to skin and disrupts the barrier. Often used in toners and astringents for a mattifying effect.,"sensitive, dry, eczema, rosacea",none
Phenoxyethanol,,Preservative,Caution,Widely used preservative considered safer than parabens. Some concerns about irritation at higher concentrations. EU limits to 1% in cosmetics.,"sensitive, eczema",none
Ethylhexylglycerin,"Ethylhexyl Glycerine, Ethylhexyl Glycerin",Preservative,Safe,Mild preservative booster derived from glycerin. Often paired with phenoxyethanol. Generally well tolerated.,none,none
Sodium Benzoate,,Preservative,Caution,Preservative that can form benzene (a carcinogen) when combined with vitamin C (ascorbic acid) in formulas. Generally safe alone.,sensitive,none
Potassium Sorbate,,Preservative,Safe,Mild preservative from sorbic acid. Generally well tolerated and considered one of the safer preservatives.,none,none
Sorbic Acid,,Preservative,Safe,Natural preservative. Gentle and generally safe. Can cause mild irritation in very sensitive individuals.,none,none
Caprylyl Glycol,,Preservative,Safe,Mild preservative and skin conditioning agent. Well tolerated by most skin types.,none,none
Chlorphenesin,,Preservative,Caution,Preservative with muscle-relaxing properties. Can cause contact dermatitis in sensitive individuals.,"sensitive, eczema",none
Benzoic Acid,,Preservative,Caution,Preservative that can be irritating at higher concentrations. Generally safe in rinse-off products.,sensitive,none
Salicylic Acid,,BHA,Caution,"Beta hydroxy acid used as both an exfoliant and preservative. Can be drying and irritating, especially for dry or sensitive skin. Avoid during pregnancy.","dry, sensitive, pregnancy","acne fighting, exfoliation, oil control"
Dehydroacetic Acid,,Preservative,Safe,Mild preservative often combined with benzyl alcohol. Generally well tolerated.,none,none
Hexylene Glycol,,Preservative,Caution,Used as a solvent and preservative booster. Can be irritating at higher concentrations.,sensitive,none
Propanediol,"1,3-Propanediol",Preservative,Safe,Plant-derived solvent and humectant. Gentler alternative to propylene glycol. Generally well tolerated.,none,hydration
Pentylene Glycol,,Preservative,Safe,Mild preservative and humectant. Derived from plant sources. Well tolerated including by sensitive skin.,none,hydration
Zinc Pyrithione,Pyrithione Zinc,Preservative,Caution,Active ingredient in anti-dandruff shampoos. Effective antifungal. EU has restricted it as a leave-on cosmetic ingredient due to environmental concerns.,all,acne fighting
Piroctone Olamine,,Preservative,Safe,Anti-dandruff agent and preservative. Gentler alternative to zinc pyrithione. Generally well tolerated.,none,acne fighting
Climbazole,,Preservative,Safe,Antifungal preservative used in anti-dandruff and anti-acne products. Generally safe and effective.,none,acne fighting
Hyaluronic Acid,"Sodium Hyaluronate, Hyaluronan, Hyaluronate, Biohyaluronic acid, Super Hyaluronic Acid, Hydrolyzed Hyaluronic Acid, Sodium Acetylated Hyaluronate, Potassium Hyaluronate",Beneficial,Safe,Powerful humectant that holds up to 1000 times its weight in water. Occurs naturally in the skin. Suitable for all skin types including sensitive and acne-prone.,none,hydration
Glycerin,"Glycerol, Glycerine, Vegetable Glycerin",Beneficial,Safe,One of the most effective and well-studied humectants. Draws moisture from the environment into the skin. Safe for all skin types.,none,hydration
Propylene Glycol,PG,Humectant,Caution,Effective humectant but can cause contact dermatitis in sensitive individuals. Generally safe at concentrations under 5%.,"sensitive, eczema",none
Butylene Glycol,"1,3-Butanediol, BG",Beneficial,Safe,Mild humectant and solvent. Less likely to cause irritation than propylene glycol. Generally well tolerated.,none,hydration
Panthenol,"D-Panthenol, DL-Panthenol, Pro-Vitamin B5, Vitamin B5, Dexpanthenol",Beneficial,Safe,Converts to vitamin B5 in the skin. Deeply hydrating and promotes skin barrier repair. Anti-inflammatory properties. Safe for all skin types.,none,"hydration, soothing"
Sodium PCA,Sodium 2-Pyrrolidone-5-Carboxylate,Beneficial,Safe,Natural component of the skin's Natural Moisturising Factor (NMF). Excellent humectant. Safe for all skin types.,none,hydration
Urea,Carbamide,Beneficial,Safe,Natural component of the skin's NMF. At low concentrations acts as a humectant. At higher concentrations acts as an exfoliant. Very effective for dry and eczema-prone skin.,none,hydration
Betaine,Trimethylglycine,Beneficial,Safe,Derived from sugar beets. Mild humectant and anti-irritant. Helps stabilise other ingredients in formulas.,none,hydration
Erythritol,,Beneficial,Safe,Sugar alcohol used as a humectant. Gentle and well tolerated.,none,hydration
Sorbitol,,Beneficial,Safe,Sugar alcohol humectant. Gentle and effective. Generally well tolerated.,none,hydration
Trehalose,,Beneficial,Safe,Natural sugar with excellent moisture-binding and protective properties. Used in hydrating products.,none,hydration
Inositol,,Beneficial,Safe,Vitamin-like compound with humectant and soothing properties. Beneficial for sensitive and acne-prone skin.,none,hydration
Serine,,Beneficial,Safe,Amino acid that is a natural component of skin's NMF. Hydrating and gentle.,none,hydration
Sodium Lactate,,Beneficial,Safe,Sodium salt of lactic acid. Effective humectant and mild exfoliant. Component of the skin's NMF.,none,hydration
Lactic Acid,,AHA,Caution,Alpha hydroxy acid derived from milk. Exfoliates by loosening the bonds between dead skin cells. Gentler than glycolic acid. Increases sun sensitivity — always use SPF.,"sensitive, dry","exfoliation, brightening, hydration"
Glycolic Acid,,AHA,Caution,"Smallest AHA molecule — most effective but also most irritating. Exfoliates, brightens, and stimulates collagen. Increases photosensitivity significantly.","sensitive, dry, rosacea","exfoliation, brightening"
Mandelic Acid,,AHA,Safe,Larger AHA molecule derived from bitter almonds. Gentlest AHA. Also has antibacterial properties — good for acne-prone skin. Increases sun sensitivity.,none,"exfoliation, brightening"
Malic Acid,,AHA,Safe,Mild AHA derived from apples. Often used in combination with other AHAs. Gentle and generally well tolerated.,none,"anti-aging, exfoliation"
Tartaric Acid,,AHA,Safe,Mild AHA derived from grapes. Often used as a pH adjuster and mild exfoliant.,none,"exfoliation, brightening"
Citric Acid,"2-Hydroxy-1,2,3-propanetricarboxylic acid",AHA,Caution,Mild AHA used primarily as a pH adjuster. At higher concentrations can exfoliate but also irritate.,sensitive,exfoliation
Polyhydroxy Acids,"PHA, Gluconolactone, Lactobionic Acid",PHA,Safe,"Largest exfoliant molecules — gentlest exfoliation with additional humectant benefits. Suitable for sensitive, dry, and eczema-prone skin.",none,"exfoliation, hydration"
Azelaic Acid,,Beneficial,Safe,"Multitasking ingredient that exfoliates, reduces hyperpigmentation, kills acne bacteria, and reduces redness. Safe during pregnancy. Excellent for rosacea.",none,"brightening, acne fighting"
Kojic Acid,,Beneficial,Caution,Brightening ingredient that inhibits tyrosinase enzyme. Effective for hyperpigmentation. Can cause sensitisation with prolonged use.,sensitive,brightening
Retinol,"Vitamin A, All-trans Retinol",Retinoid,Caution,"Gold standard anti-ageing ingredient. Increases cell turnover, stimulates collagen, and improves texture. Can cause irritation, dryness, and photosensitivity. Avoid during pregnancy.","sensitive, dry, pregnancy, rosacea","anti-aging, acne fighting"
Retinal,Retinaldehyde,Retinoid,Caution,More potent than retinol but less so than retinoic acid. Faster results with slightly more irritation potential. Avoid during pregnancy.,"sensitive, pregnancy","anti-aging, acne fighting"
Retinyl Palmitate,Vitamin A Palmitate,Retinoid,Safe,Ester form of vitamin A. Weakest retinoid — least effective but also least irritating. Safe starting point for retinoid beginners.,pregnancy,anti-aging
Retinyl Acetate,,Retinoid,Safe,Ester form of vitamin A. Milder than retinol. Converted to retinol in the skin.,pregnancy,anti-aging
Granactive Retinoid,"Hydroxypinacolone Retinoate, HPR",Retinoid,Safe,Next-generation retinoid that works without conversion steps. Less irritating than retinol with effective results.,pregnancy,"anti-aging, acne fighting"
Ascorbic Acid,"Vitamin C, L-Ascorbic Acid",Antioxidant,Caution,"Purest form of vitamin C. Powerful antioxidant, brightens, stimulates collagen, protects against UV damage. Unstable — oxidises quickly. Can be irritating at high concentrations. Avoid mixing with niacinamide at high concentrations.","sensitive, rosacea","antioxidant, brightening"
Sodium Ascorbyl Phosphate,SAP,Antioxidant,Safe,Stable vitamin C derivative. More gentle than ascorbic acid. Also has antibacterial properties beneficial for acne-prone skin.,none,"antioxidant, brightening"
Ascorbyl Glucoside,AA2G,Antioxidant,Safe,Stable vitamin C derivative. Gentler and more stable than ascorbic acid. Less potent but well tolerated.,none,"antioxidant, brightening"
Magnesium Ascorbyl Phosphate,MAP,Antioxidant,Safe,"Stable, water-soluble vitamin C derivative. Gentle and effective brightener suitable for sensitive skin.",none,"antioxidant, brightening"
Ascorbyl Tetraisopalmitate,"Vitamin C ATIP, Tetrahexyldecyl Ascorbate, VC-IP, Vitamin C Tetraisopalmitate, Ascorbyl tetra-2-hexyldecanoate",Antioxidant,Safe,"Oil-soluble, stable vitamin C derivative. Penetrates well and is very gentle. Good for dry and sensitive skin.",none,"antioxidant, brightening"
Ethyl Ascorbic Acid,3-O-Ethyl Ascorbic Acid,Antioxidant,Safe,Stable and potent vitamin C derivative. Good skin penetration and brightening efficacy.,none,"antioxidant, brightening"
Niacinamide,"Vitamin B3, Nicotinamide",Beneficial,Safe,"Multi-tasking ingredient that reduces pore appearance, controls oil, brightens skin, strengthens the barrier, and reduces redness. Well studied and safe for all skin types including acne-prone and sensitive.",none,"brightening, oil control"
Nicotinic Acid,"Niacin, Vitamin B3 Acid Form",Beneficial,Caution,Can cause temporary flushing (redness and tingling) when applied topically. Convert to niacinamide for stable benefit.,"sensitive, rosacea",brightening
Biotin,"Vitamin B7, Vitamin H",Beneficial,Safe,B vitamin used in hair and nail products. Supports keratin structure. Generally safe and well tolerated.,none,barrier repair
Riboflavin,Vitamin B2,Beneficial,Safe,Antioxidant vitamin. Used in some serums for its skin-protective properties.,none,antioxidant
Pyridoxine,Vitamin B6,Beneficial,Safe,Regulates sebum production. Beneficial for oily and acne-prone skin. Anti-inflammatory properties.,none,soothing
Tocopherol,"Vitamin E, Alpha-Tocopherol, Beta-Tocopherol, Gamma-Tocopherol",Antioxidant,Safe,Fat-soluble antioxidant that protects against oxidative damage. Works synergistically with vitamin C. Moisturising and skin-repairing.,none,"antioxidant, barrier repair"
Tocopheryl Acetate,"Tocopherol Acetate, Vitamin E Acetate, Vitamin E",Antioxidant,Safe,"Stable esterified form of Vitamin E. Acts as an antioxidant, protects skin from free radical damage, and helps maintain skin barrier. More shelf-stable than pure Tocopherol. Safe for all skin types.",none,"antioxidant, barrier repair"
Resveratrol,,Antioxidant,Safe,Powerful antioxidant from grape skins. Anti-inflammatory and protective against UV damage.,none,"antioxidant, anti-aging"
Ferulic Acid,,Antioxidant,Safe,Plant-derived antioxidant that doubles the effectiveness of vitamins C and E. Commonly used in combination serums.,none,"antioxidant, brightening"
Coenzyme Q10,"Ubiquinone, CoQ10",Antioxidant,Safe,Antioxidant naturally present in skin cells. Decreases with age. Helps protect against free radical damage.,none,"antioxidant, anti-aging"
Glutathione,,Antioxidant,Safe,Master antioxidant naturally produced by the body. Brightening and protective. Generally safe.,none,"antioxidant, brightening"
Astaxanthin,,Antioxidant,Safe,One of the most powerful natural antioxidants. Anti-inflammatory and protective. Generally safe and beneficial.,none,"antioxidant, anti-aging"
Lycopene,,Antioxidant,Safe,Carotenoid antioxidant from tomatoes. Protective against UV damage and oxidative stress.,none,"antioxidant, anti-aging"
Beta-Carotene,Provitamin A,Antioxidant,Safe,Antioxidant carotenoid that converts to vitamin A. Protective and brightening. Generally safe.,none,"antioxidant, anti-aging"
Epigallocatechin Gallate,"EGCG, Green Tea Extract",Antioxidant,Safe,Potent antioxidant from green tea. Anti-inflammatory and protective against UV damage. Safe for all skin types.,none,"antioxidant, soothing"
Quercetin,,Antioxidant,Safe,Flavonoid antioxidant with anti-inflammatory and antihistamine properties. Beneficial for sensitive and reactive skin.,none,"antioxidant, soothing"
Ceramide NP,"Ceramide 2, N-stearoyl phytosphingosine",Beneficial,Safe,Key lipid in the skin barrier. Replenishes lost ceramides to restore barrier function. Essential for dry and eczema-prone skin.,none,barrier repair
Ceramide AP,Ceramide 6 II,Beneficial,Safe,"Another key skin barrier ceramide. Works best in combination with other ceramides, cholesterol, and fatty acids.",none,barrier repair
Ceramide EOS,"Ceramide 1, Acylceramide",Beneficial,Safe,"One of the key ceramides found naturally in skin. Helps maintain the skin barrier, retains moisture, and protects against environmental damage. Safe for all skin types including sensitive.",none,barrier repair
Ceramide EOP,"Ceramide 3, Ceramide Type EOP",Beneficial,Safe,Long-chain ceramide crucial for skin barrier integrity. Part of the optimal ceramide complex for barrier repair.,none,barrier repair
Cholesterol,,Beneficial,Safe,Essential component of the skin barrier lipid matrix alongside ceramides and fatty acids. Helps restore barrier function.,none,barrier repair
Fatty Acids,"Linoleic Acid, Linolenic Acid, Oleic Acid",Beneficial,Safe,Essential fatty acids that maintain the skin barrier. Linoleic acid is particularly beneficial for acne-prone skin.,none,barrier repair
Squalane,"Perhydrosqualene, Pripure 3759, Hydrogenated Squalene, Squalane Oil",Beneficial,Safe,"Highly stable emollient derived from olives or sugarcane. Identical to naturally occurring squalene in skin. Lightweight, non-comedogenic, and excellent for all skin types.",none,"barrier repair, hydration"
Squalene,,Beneficial,Safe,Naturally occurring lipid produced by sebaceous glands. Declines with age. Excellent emollient. Note: different from squalane (the stable form).,none,"barrier repair, hydration"
Allantoin,"Aluminum Dihydroxy Allantoinate, 5-Ureidohydantoin",Beneficial,Safe,"Soothing and healing agent. Promotes cell regeneration, reduces irritation, and helps repair the skin barrier. Safe for all skin types including sensitive.",none,soothing
Centella Asiatica Extract,"Cica, Tiger Grass, Gotu Kola, TECA",Beneficial,Safe,"Traditional healing plant extract. Contains madecassoside, asiaticoside, and asiatic acid. Promotes wound healing, reduces inflammation, and strengthens the skin barrier.",none,"soothing, barrier repair"
Madecassoside,,Beneficial,Safe,Active compound from centella asiatica. Potent anti-inflammatory and wound-healing properties. Strengthens the skin barrier.,none,"soothing, barrier repair"
Asiaticoside,,Beneficial,Safe,Active compound from centella asiatica. Stimulates collagen synthesis and promotes healing.,none,"soothing, barrier repair"
Beta-Glucan,"Oat Beta-Glucan, Yeast Beta-Glucan",Beneficial,Safe,Polysaccharide from oats or yeast. Deeply hydrating and soothing. Stimulates collagen production. Safe for all skin types.,none,"soothing, hydration"
Oat Extract,"Avena Sativa Extract, Colloidal Oatmeal",Beneficial,Safe,Anti-inflammatory and soothing. Colloidal oatmeal is an FDA-approved active ingredient for eczema relief.,none,"soothing, barrier repair"
Aloe Vera,"Aloe Barbadensis Leaf Juice, Aloe Extract",Beneficial,Safe,"Soothing, hydrating, and anti-inflammatory. Speeds wound healing. Generally safe — rarely some individuals are sensitive to aloe.",none,"soothing, hydration"
Palmitoyl Pentapeptide-4,"Matrixyl, Palmitoyl Pentapeptide",Peptide,Safe,One of the most studied cosmetic peptides. Stimulates collagen and hyaluronic acid production. Effective anti-ageing with good safety profile.,none,anti-aging
Palmitoyl Tripeptide-1,Biopeptide CL,Peptide,Safe,Peptide that stimulates collagen type I synthesis. Often combined with palmitoyl tetrapeptide-7.,none,anti-aging
Palmitoyl Tetrapeptide-7,"Rigin, GQPR",Peptide,Safe,Peptide that reduces inflammation and glycation. Complements palmitoyl tripeptide-1 in anti-ageing formulas.,none,"anti-aging, soothing"
Acetyl Hexapeptide-3,"Argireline, Acetyl Hexapeptide-8",Peptide,Safe,Peptide often marketed as botox-in-a-bottle. Relaxes facial tension with repeated use. Generally safe.,none,anti-aging
Copper Peptide,"GHK-Cu, Copper Tripeptide-1",Peptide,Safe,"Promotes collagen and elastin synthesis, wound healing, and antioxidant activity. One of the most studied cosmetic peptides.",none,"anti-aging, barrier repair"
Leuphasyl,Pentapeptide-18,Peptide,Safe,Peptide that reduces expression lines by relaxing muscular tension. Synergistic with argireline.,none,anti-aging
Syn-Ake,Dipeptide Diaminobutyroyl Benzylamide Diacetate,Peptide,Safe,Synthetic peptide mimicking snake venom (temple viper). Relaxes muscle contractions to reduce wrinkles.,none,anti-aging
Alpha Arbutin,,Beneficial,Safe,Stable form of arbutin that inhibits tyrosinase to reduce hyperpigmentation. Safer and more effective than beta arbutin. Safe for all skin types.,none,brightening
Beta Arbutin,Arbutin,Beneficial,Caution,Converts to hydroquinone in the skin — same brightening effect but with hydroquinone-related concerns at higher concentrations.,sensitive,brightening
Tranexamic Acid,,Beneficial,Safe,Brightening ingredient that targets multiple pathways of pigmentation. Gentle and suitable for sensitive skin. Can be used during pregnancy.,none,brightening
Licorice Root Extract,"Glycyrrhiza Glabra Root Extract, Glabridin",Beneficial,Safe,Contains glabridin which inhibits tyrosinase. Brightening and anti-inflammatory. Gentle and safe for sensitive skin.,none,"brightening, soothing"
Vitamin C,Ascorbic Acid and derivatives,Antioxidant,Caution,See Ascorbic Acid entry. Collective term for all vitamin C forms used in skincare.,sensitive,"brightening, antioxidant"
Diacetyl Boldine,,Beneficial,Safe,Plant-derived brightening ingredient from boldo leaves. Inhibits melanin production. Well tolerated.,none,brightening
Bearberry Extract,Arctostaphylos Uva-Ursi Leaf Extract,Beneficial,Safe,Natural source of arbutin. Brightening and antioxidant. Generally safe.,none,brightening
Mulberry Extract,Morus Alba Root Extract,Beneficial,Safe,Contains oxyresveratrol which inhibits tyrosinase. Effective brightener with antioxidant properties.,none,brightening
Zinc Oxide,ZnO,UV Filter,Safe,"Mineral UV filter that provides broad-spectrum UVA and UVB protection. Non-irritating and safe for sensitive, acne-prone, and reactive skin. Safe during pregnancy.",none,"oil control, soothing, uv protection"
Titanium Dioxide,TiO2,UV Filter,Safe,Mineral UV filter primarily for UVB protection. Non-irritating and safe for sensitive skin. Safe during pregnancy.,none,uv protection
Tinosorb S,Bis-Ethylhexyloxyphenol Methoxyphenyl Triazine,UV Filter,Safe,Photostable chemical UV filter available in EU and Asia. Not approved in US. Excellent broad-spectrum protection with low penetration.,none,uv protection
Tinosorb M,Methylene Bis-Benzotriazolyl Tetramethylbutylphenol,UV Filter,Safe,Photostable UV filter. Hybrid mineral-chemical filter. Available in EU and Asia. Low skin penetration.,none,uv protection
Uvinul A Plus,"Diethylamino Hydroxybenzoyl Hexyl Benzoate, DHHB",UV Filter,Safe,Photostable UVA filter with low penetration. Available in EU. Not approved in US.,none,uv protection
Bisabolol,Alpha-Bisabolol,Beneficial,Safe,"Chamomile-derived soothing ingredient. Anti-inflammatory, skin-lightening, and wound-healing properties. Safe for sensitive and irritated skin.",none,soothing
Chamomile Extract,"Matricaria Chamomilla Extract, Anthemis Nobilis Flower Extract",Beneficial,Safe,Anti-inflammatory and soothing. Contains bisabolol and apigenin. Gentle and suitable for sensitive skin.,none,soothing
Calendula Extract,Calendula Officinalis Flower Extract,Beneficial,Safe,Anti-inflammatory and wound-healing. Rich in flavonoids and triterpenoids. Soothing for sensitive and irritated skin.,none,soothing
Green Tea Extract,Camellia Sinensis Leaf Extract,Antioxidant,Safe,"Rich in EGCG and other polyphenols. Antioxidant, anti-inflammatory, and antibacterial. Safe for all skin types including acne-prone.",none,"antioxidant, soothing"
White Tea Extract,Camellia Sinensis Leaf Extract (White Tea),Antioxidant,Safe,Highest antioxidant content of all tea extracts. Gentle and suitable for sensitive skin.,none,"antioxidant, soothing"
Turmeric Extract,"Curcuma Longa Root Extract, Curcumin",Beneficial,Caution,Potent anti-inflammatory and antioxidant. Can cause temporary yellowing of skin at high concentrations.,none,"brightening, soothing"
Rosehip Extract,Rosa Canina Fruit Extract,Beneficial,Safe,"Rich in vitamins C and A, and fatty acids. Brightening and anti-ageing. Generally safe.",none,"soothing, anti-aging, antioxidant"
Licorice Extract,Glycyrrhiza Glabra Root Extract,Beneficial,Safe,Soothing and brightening. Contains glycyrrhizin which reduces inflammation. Safe for sensitive skin.,none,"brightening, soothing"
Willow Bark Extract,Salix Alba Bark Extract,Beneficial,Caution,Natural source of salicylates. Mild exfoliating and antibacterial. Gentler than synthetic salicylic acid.,"sensitive, pregnancy","acne fighting, exfoliation"
Mushroom Extract,"Tremella Fuciformis Extract, Shiitake Extract, Albatrellus Confluens Extract, Ganoderma Lucidum Extract, Lentinus Edodes Extract, Inonotus Obliquus Extract",Beneficial,Safe,Tremella mushroom holds more water than hyaluronic acid. Antioxidant and soothing. Safe for all skin types.,none,"soothing, hydration"
Sea Kelp Extract,Laminaria Digitata Extract,Beneficial,Safe,"Rich in minerals, vitamins, and amino acids. Hydrating and antioxidant. Generally safe.",none,"soothing, hydration"
Red Algae Extract,"Chondrus Crispus Extract, Irish Moss",Beneficial,Safe,Hydrating and film-forming. Rich in minerals. Generally safe when properly formulated.,none,"soothing, hydration"
Collagen,"Hydrolyzed Collagen, Marine Collagen",Beneficial,Safe,Topical collagen acts as a humectant and conditioning agent. Collagen molecules are too large to penetrate skin — works on the surface. Safe and non-irritating.,none,"anti-aging, hydration"
Elastin,Hydrolyzed Elastin,Beneficial,Safe,Hydrolyzed form acts as a humectant and conditioning agent on the skin surface. Generally safe.,none,anti-aging
Silk Proteins,"Hydrolyzed Silk, Sericin",Beneficial,Safe,Amino acid-rich proteins that condition and hydrate skin and hair. Form a protective film. Generally safe.,none,"barrier repair, hydration"
Keratin,Hydrolyzed Keratin,Beneficial,Safe,"Structural protein of skin, hair, and nails. Hydrolyzed form strengthens hair and nails. Generally safe.",none,"anti-aging, barrier repair"
Phytic Acid,,Beneficial,Safe,Antioxidant and mild exfoliant. Also chelates metal ions that can accelerate oxidation. Generally gentle.,none,"exfoliation, brightening"
Lactobionic Acid,,Beneficial,Safe,PHA (polyhydroxy acid). Large molecule that exfoliates gently. Also a powerful antioxidant and humectant. Great for sensitive skin.,none,"exfoliation, hydration"
Gluconolactone,,Beneficial,Safe,"PHA with antioxidant and humectant properties alongside gentle exfoliation. Safe for sensitive, dry, and eczema-prone skin.",none,"exfoliation, hydration"
Zinc,"Zinc Gluconate, Zinc Sulfate",Beneficial,Safe,"Regulates sebum production, reduces inflammation, and has antibacterial properties. Beneficial for oily and acne-prone skin.",none,"oil control, acne fighting"
Sulfur,Precipitated Sulfur,Beneficial,Safe,"Keratolytic and antibacterial. Effective for acne, seborrheic dermatitis, and rosacea. Can be drying and has a strong odour.",dry,acne fighting
Selenium,"Selenium Sulfide, Sodium Selenite, Selenium Disulfide",Beneficial,Safe,Antioxidant mineral. Used in anti-dandruff products and some antioxidant serums.,none,antioxidant
Iron Oxides,"CI 77491, CI 77492, CI 77499",Beneficial,Safe,Mineral pigments used in colour cosmetics and tinted SPFs. Safe and non-irritating. Also provide some UV protection.,none,none
Adenosine,,Beneficial,Safe,Purine nucleoside that stimulates collagen synthesis and has anti-inflammatory properties. Good anti-ageing ingredient with an excellent safety profile.,none,"brightening, anti-aging"
Hexylresorcinol,,Beneficial,Safe,Brightening ingredient four times more potent than kojic acid. Also has antibacterial properties. Generally well tolerated.,none,brightening
Epidermal Growth Factor,"EGF, sh-Oligopeptide-1",Beneficial,Caution,Stimulates cell renewal and collagen production. Controversial — some dermatologists concerned about potential to stimulate abnormal cell growth.,acne-prone,anti-aging
Stem Cell Extracts,"Plant Stem Cells, Apple Stem Cell",Beneficial,Safe,Plant stem cell extracts provide antioxidants and support skin's own stem cells. Generally safe but efficacy claims are often exaggerated.,none,anti-aging
Probiotics,"Lactobacillus Ferment, Bifida Ferment Lysate",Beneficial,Safe,"Support the skin's microbiome. Anti-inflammatory and barrier-strengthening. Beneficial for acne-prone, sensitive, and eczema-prone skin.",none,"soothing, barrier repair"
Prebiotic,"Inulin, Fructooligosaccharides",Beneficial,Safe,Feed beneficial bacteria on the skin. Support microbiome balance. Generally safe and gentle.,none,"soothing, barrier repair"
Postbiotic,"Fermented Ingredients, Lysates",Beneficial,Safe,By-products of probiotic fermentation. Anti-inflammatory and barrier-supporting. Generally well tolerated.,none,"soothing, barrier repair"
Snail Secretion Filtrate,"Snail Mucin, SSMF",Beneficial,Safe,"Contains glycoproteins, hyaluronic acid, glycolic acid, zinc, and copper. Hydrating, brightening, and healing. Generally safe.",none,"barrier repair, hydration"
Peptides (General),See individual peptide entries,Beneficial,Safe,"Protein fragments that signal skin cells to produce collagen, elastin, and other proteins. Generally safe and well studied.",none,anti-aging
Caffeine,,Beneficial,Safe,Antioxidant and anti-inflammatory. Reduces puffiness by constricting blood vessels. Used in eye creams and anti-cellulite products. Generally safe.,none,"anti-aging, soothing"
Acetyl Glucosamine,"NAG, N-Acetyl Glucosamine",Beneficial,Safe,Precursor to hyaluronic acid. Also has brightening properties and supports skin renewal.,none,"brightening, hydration"
Ectoin,,Beneficial,Safe,Extremophile-derived molecule. Stabilises proteins and cell membranes. Protective and soothing. Excellent for sensitive and environmentally stressed skin.,none,"hydration, soothing"
Snow Algae Extract,Chlamydomonas Nivalis Extract,Beneficial,Safe,Derived from algae that survive in extreme cold. Activates longevity genes in skin cells. Antioxidant and protective.,none,"soothing, anti-aging"
Sea Water,"Aqua Marina, Marine Water",Beneficial,Caution,Rich in trace minerals. Used as a hydrating and mineral-replenishing ingredient. May cause irritation for some sensitive skin types.,"sensitive, eczema",hydration
Thermal Water,"Avene Thermal Spring Water, La Roche-Posay Thermal Water, Demineralized Spring Water, Avene aqua, Uriage thermal spring water, Onsen-Sui",Beneficial,Safe,Mineral-rich spring water with documented soothing and anti-inflammatory properties. Safe for all including sensitive skin.,none,"hydration, soothing"
Rose Water,"Rosa Damascena Flower Water, Rose Hydrosol",Beneficial,Caution,Gentle toner with anti-inflammatory properties. Generally safe but can cause reactions in individuals sensitive to fragrances or rose.,sensitive,"soothing, hydration"
Witch Hazel (Alcohol-Free),"Hamamelis Virginiana Bark/Leaf Extract, Alcohol-Free Witch Hazel, Hamamelis Virginiana Leaf Water, Witch Hazel Water",Beneficial,Safe,Alcohol-free witch hazel retains tannin-based anti-inflammatory benefits without the irritating drying effect of alcohol-based versions.,none,soothing
Hyaluronic Acid (Low Molecular Weight),"Nano Hyaluronic Acid, Sodium Hyaluronate Crosspolymer",Beneficial,Safe,Smaller HA fragments that penetrate deeper into the skin for more intensive hydration. Generally safe.,none,hydration
Polyglutamic Acid,PGA,Beneficial,Safe,"Holds 4 times more moisture than hyaluronic acid. Also inhibits the enzyme that breaks down HA, making your own HA last longer.",none,hydration
Marine Collagen,"Fish Collagen, Hydrolyzed Marine Collagen",Beneficial,Safe,Topically acts as a humectant. Generally safe unless allergic to fish.,fish-allergy,"barrier repair, anti-aging"
Silk Amino Acids,Hydrolyzed Silk Amino Acids,Beneficial,Safe,Conditioning and hydrating amino acids from silk. Safe for skin and hair.,none,"barrier repair, hydration"
